,Date,Open,High,Low,Volume,Close,Adj Close,compound,neg,pos,neu
0,2008-08-08,11432.089844,11759.959961,11388.040039,212830000,11734.320312,11734.320312,-0.9982,0.235,0.041,0.724
1,2008-08-11,11729.669922,11867.110352,11675.530273,183190000,11782.349609,11782.349609,-0.9858,0.191,0.089,0.721
2,2008-08-12,11781.700195,11782.349609,11601.519531,173590000,11642.469727,11642.469727,-0.9715,0.128,0.056,0.816
3,2008-08-13,11632.80957,11633.780273,11453.339844,182550000,11532.959961,11532.959961,-0.9809,0.146,0.066,0.788
4,2008-08-14,11532.070312,11718.280273,11450.889648,159790000,11615.929688,11615.929688,-0.9882,0.189,0.094,0.717
5,2008-08-15,11611.209961,11709.889648,11599.730469,215040000,11659.900391,11659.900391,-0.9892,0.177,0.07,0.753
6,2008-08-18,11659.650391,11690.429688,11434.120117,156290000,11479.389648,11479.389648,-0.9938,0.224,0.056,0.719
7,2008-08-19,11478.089844,11478.169922,11318.5,171580000,11348.549805,11348.549805,-0.9974,0.247,0.037,0.716
8,2008-08-20,11345.94043,11454.150391,11290.580078,144880000,11417.429688,11417.429688,-0.9913,0.182,0.06,0.758
9,2008-08-21,11415.230469,11476.209961,11315.570312,130020000,11430.209961,11430.209961,-0.9966,0.218,0.065,0.717
10,2008-08-22,11426.790039,11632.129883,11426.790039,138790000,11628.05957,11628.05957,-0.976,0.145,0.078,0.778
11,2008-08-25,11626.19043,11626.269531,11362.629883,148610000,11386.25,11386.25,-0.9979,0.274,0.024,0.701
12,2008-08-26,11383.55957,11436.240234,11340.410156,119800000,11412.870117,11412.870117,-0.9913,0.222,0.066,0.712
13,2008-08-27,11412.459961,11554.459961,11381.769531,120580000,11502.509766,11502.509766,-0.9921,0.181,0.048,0.771
14,2008-08-28,11499.870117,11715.179688,11499.790039,149150000,11715.179688,11715.179688,-0.9153,0.15,0.113,0.737
15,2008-08-29,11713.230469,11713.230469,11543.389648,166910000,11543.959961,11543.959961,-0.9575,0.134,0.076,0.789
16,2008-09-02,11545.629883,11790.169922,11471.900391,177090000,11516.919922,11516.919922,-0.9971,0.241,0.052,0.706
17,2008-09-03,11506.009766,11554.379883,11416.530273,174250000,11532.879883,11532.879883,-0.9866,0.162,0.059,0.779
18,2008-09-04,11532.480469,11532.480469,11176.019531,229200000,11188.230469,11188.230469,-0.9893,0.187,0.089,0.724
19,2008-09-05,11185.629883,11245.150391,11037.849609,198300000,11220.959961,11220.959961,-0.9963,0.228,0.092,0.68
20,2008-09-08,11224.870117,11570.660156,11224.790039,273000000,11510.740234,11510.740234,-0.9962,0.213,0.046,0.74
21,2008-09-09,11514.730469,11577.5,11230.730469,257300000,11230.730469,11230.730469,-0.9943,0.192,0.062,0.746
22,2008-09-10,11233.910156,11380.629883,11215.259766,214260000,11268.919922,11268.919922,-0.9973,0.256,0.035,0.709
23,2008-09-11,11264.44043,11445.679688,11098.669922,247820000,11433.709961,11433.709961,-0.9845,0.182,0.069,0.749
24,2008-09-12,11429.320312,11459.929688,11280.400391,238890000,11421.990234,11421.990234,-0.9775,0.13,0.042,0.828
25,2008-09-15,11416.370117,11416.450195,10917.509766,432970000,10917.509766,10917.509766,-0.9909,0.19,0.081,0.729
26,2008-09-16,10905.620117,11093.219727,10742.700195,494760000,11059.019531,11059.019531,-0.997,0.221,0.057,0.722
27,2008-09-17,11056.580078,11057.30957,10595.900391,463200000,10609.660156,10609.660156,-0.9939,0.209,0.026,0.765
28,2008-09-18,10609.009766,11076.44043,10459.44043,488060000,11019.69043,11019.69043,-0.9969,0.25,0.032,0.718
29,2008-09-19,11027.509766,11483.049805,11026.700195,655110000,11388.44043,11388.44043,-0.9955,0.247,0.039,0.714
30,2008-09-22,11394.419922,11394.580078,10992.200195,213210000,11015.69043,11015.69043,-0.9956,0.208,0.071,0.721
31,2008-09-23,11015.69043,11143.209961,10833.94043,204480000,10854.169922,10854.169922,-0.9894,0.196,0.083,0.721
32,2008-09-24,10850.019531,10928.400391,10753.570312,183630000,10825.169922,10825.169922,-0.9982,0.278,0.038,0.685
33,2008-09-25,10827.169922,11129.19043,10827.009766,218530000,11022.05957,11022.05957,-0.991,0.166,0.007,0.827
34,2008-09-26,11019.040039,11168.05957,10868.820312,232560000,11143.129883,11143.129883,-0.9923,0.184,0.025,0.791
35,2008-09-29,11139.620117,11139.94043,10365.450195,385940000,10365.450195,10365.450195,-0.989,0.189,0.086,0.725
36,2008-09-30,10371.580078,10868.900391,10371.419922,319770000,10850.660156,10850.660156,-0.9896,0.227,0.12,0.653
37,2008-10-01,10847.400391,10882.519531,10631.950195,256670000,10831.070312,10831.070312,-0.9935,0.212,0.108,0.68
38,2008-10-02,10825.540039,10825.540039,10439.519531,395330000,10482.849609,10482.849609,-0.9819,0.168,0.093,0.74
39,2008-10-03,10483.959961,10796.259766,10310.25,299690000,10325.379883,10325.379883,-0.9875,0.146,0.059,0.795
40,2008-10-06,10322.519531,10322.759766,9525.320312,391460000,9955.5,9955.5,-0.9659,0.162,0.089,0.749
41,2008-10-07,9955.419922,10124.030273,9436.669922,362520000,9447.110352,9447.110352,-0.9929,0.169,0.053,0.779
42,2008-10-08,9437.230469,9628.070312,9194.780273,479270000,9258.099609,9258.099609,-0.9966,0.208,0.049,0.743
43,2008-10-09,9261.69043,9448.139648,8579.19043,436740000,8579.19043,8579.19043,-0.9977,0.214,0.042,0.744
44,2008-10-10,8568.669922,8901.280273,7882.509766,674920000,8451.19043,8451.19043,-0.9944,0.169,0.072,0.759
